year,month,tmean
1944,3,9.888888889
1944,4,14.77777778
1944,5,21.55555556
1944,6,25.61111111
1944,7,25.77777778
1944,8,25.77777778
1944,9,22.16666667
1944,10,15.27777778
1944,11,9.666666667
1944,12,2.555555556
1945,1,3.277777778
1945,2,6.111111111
1945,3,15.33333333
1945,4,16.44444444
1945,5,17.72222222
1945,6,23.11111111
1945,7,25.22222222
1945,8,25.16666667
1945,9,23.38888889
1945,10,14.55555556
1945,11,10.77777778
1945,12,1.888888889
1946,1,4.777777778
1946,2,7.444444444
1946,3,14.55555556
1946,4,17.44444444
1946,5,18.11111111
1946,6,23.77777778
1946,7,25.66666667
1946,8,23.44444444
1946,9,21.38888889
1946,10,15.77777778
1946,11,12.33333333
1946,12,8
1947,1,6.222222222
1947,2,1.166666667
1947,3,5.555555556
1947,4,16.27777778
1947,5,18.16666667
1947,6,23.72222222
1947,7,23.5
1947,8,27.77777778
1947,9,22.94444444
1947,10,19.44444444
1947,11,8.222222222
1947,12,5.444444444
1948,1,-0.888888889
1948,2,4.888888889
1948,3,11.16666667
1948,4,17.72222222
1948,5,19.27777778
1948,6,24.77777778
1948,7,26.38888889
1948,8,25.05555556
1948,9,21.33333333
1948,10,14.22222222
1948,11,10.27777778
1948,12,6.666666667
1949,1,8
1949,2,7.666666667
1949,3,10.05555556
1949,4,14.5
1949,5,20.44444444
1949,6,24.55555556
1949,7,26.77777778
1949,8,24.94444444
1949,9,19.83333333
1949,10,17.61111111
1949,11,9
1949,12,6.666666667
1950,1,10.11111111
1950,2,7.888888889
1950,3,8.777777778
1950,4,13.38888889
1950,5,21.38888889
1950,6,23.83333333
1950,7,24.44444444
1950,8,23.11111111
1950,9,20.5
1950,10,17.83333333
1950,11,6.444444444
1950,12,1.888888889
1951,1,5.166666667
1951,2,6
1951,3,10.33333333
1951,4,13.83333333
1951,5,19.5
1951,6,24.27777778
1951,7,26.44444444
1951,8,26.61111111
1951,9,21.77777778
1951,10,16.44444444
1951,11,6.444444444
1951,12,6.833333333
1952,1,7.888888889
1952,2,8
1952,3,9.611111111
1952,4,14.33333333
1952,5,20.22222222
1952,6,28.16666667
1952,7,27.77777778
1952,8,26.33333333
1952,9,20.83333333
1952,10,11.72222222
1952,11,8.722222222
1952,12,5.555555556
1953,1,7.5
1953,2,7.222222222
1953,3,11.88888889
1953,4,14
1953,5,21.33333333
1953,6,27.27777778
1953,7,26.38888889
1953,8,25.83333333
1953,9,22.11111111
